34.0 53.0 0xff1400
4.0 50.0 0xff1400
6.0 49.0 0xff1400
60.0 54.0 0xc4143b
10.0 42.0 0xd2142d
36.0 47.0 0xff1400
16.0 46.0 0xff1400
6.0 50.0 0xff1400
20.0 52.0 0xf1140e
-90.0 40.0 0xa3145c
38.0 55.0 0xff1400
-98.0 47.0 0x63149c
-90.0 17.0 0xde1421
-24.0 64.0 0xb91446
4.0 47.0 0xfb1404
10.0 44.0 0xff1400
-2.0 54.0 0xff1400
14.0 49.0 0xd0142f
36.0 55.0 0xff1400
38.0 51.0 0xfe1401
-4.0 52.0 0xff1400
20.0 56.0 0x981467
48.0 29.0 0xd81427
16.0 45.0 0xea1415
22.0 40.0 0xff1400
2.0 49.0 0xff1400
12.0 58.0 0xbc1443
-10.0 38.0 0xf81407
14.0 55.0 0xfd1402
-8.0 54.0 0xff1400
6.0 46.0 0xf71408
10.0 55.0 0xff1400
-4.0 54.0 0xda1425
-6.0 55.0 0xff1400
6.0 51.0 0xff1400
-4.0 53.0 0xff1400
22.0 37.0 0xfd1402
24.0 54.0 0xcc1433
4.0 51.0 0xff1400
6.0 52.0 0xff1400
-10.0 42.0 0xee1411
2.0 50.0 0xff1400
-2.0 44.0 0xf5140a
0.0 51.0 0xff1400
-2.0 52.0 0xff1400
20.0 44.0 0xd91426
-80.0 22.0 0x6a1495
20.0 54.0 0xec1413
4.0 52.0 0xff1400
0.0 52.0 0xff1400
-2.0 50.0 0xfc1403
18.0 47.0 0xfa1405
8.0 58.0 0xd91426
2.0 48.0 0xff1400
12.0 55.0 0xf4140b
-4.0 50.0 0xff1400
-2.0 43.0 0xd4142b
-98.0 30.0 0xc61439
-98.0 29.0 0x4914b6
18.0 59.0 0xd0142f
4.0 45.0 0xf4140b
10.0 45.0 0xe91416
0.0 50.0 0xdf1420
146.0 -42.0 0xca1435
40.0 57.0 0xd0142f
8.0 45.0 0xff1400
18.0 43.0 0xe91416
24.0 59.0 0xc5143a
-6.0 35.0 0xd71428
-100.0 30.0 0x74148b
74.0 54.0 0xbc1443
22.0 63.0 0xf81407
2.0 51.0 0xff1400
-6.0 47.0 0xb4144b
-2.0 53.0 0xff1400
6.0 53.0 0xfb1404
0.0 47.0 0xea1415
-18.0 28.0 0xe81417
-4.0 42.0 0xda1425
0.0 41.0 0xfb1404
24.0 42.0 0xff1400
8.0 48.0 0xea1415
44.0 43.0 0xc61439
-10.0 52.0 0xb61449
-78.0 38.0 0xff1400
6.0 47.0 0xfd1402
-6.0 36.0 0xf4140b
0.0 44.0 0xd3142c
-2.0 39.0 0xff1400
40.0 56.0 0xd81427
-2.0 51.0 0xff1400
-2.0 38.0 0xff1400
12.0 41.0 0xf0140f
-4.0 51.0 0xff1400
14.0 41.0 0xff1400
-82.0 35.0 0xda1425
2.0 41.0 0xff1400
18.0 45.0 0xff1400
22.0 38.0 0xff1400
-68.0 10.0 0xe71418
-76.0 38.0 0xa0145f
20.0 45.0 0xd4142b
58.0 53.0 0xd81427
26.0 42.0 0xf71408
60.0 57.0 0xce1431
18.0 49.0 0xc91436
40.0 46.0 0xf4140b
8.0 59.0 0xf81407
10.0 43.0 0xfb1404
4.0 49.0 0xea1415
12.0 44.0 0xff1400
60.0 58.0 0x981467
8.0 53.0 0xef1410
16.0 47.0 0xec1413
-6.0 54.0 0xfa1405
8.0 47.0 0xff1400
18.0 42.0 0xcd1432
76.0 62.0 0xb1144e
14.0 50.0 0xdf1420
8.0 50.0 0xe81417
8.0 56.0 0xea1415
44.0 49.0 0x9a1465
8.0 46.0 0xfa1405
12.0 51.0 0xe5141a
10.0 53.0 0xe81417
4.0 53.0 0xff1400
42.0 51.0 0xb3144c
4.0 46.0 0xc2143d
14.0 46.0 0xee1411
20.0 47.0 0xd5142a
24.0 60.0 0xfd1402
24.0 48.0 0xdb1424
18.0 54.0 0xe0141f
38.0 45.0 0xf81407
28.0 44.0 0xe0141f
36.0 54.0 0xf81407
-8.0 43.0 0xb91446
24.0 57.0 0xed1412
16.0 50.0 0xcf1430
26.0 47.0 0xcc1433
56.0 57.0 0xdb1424
2.0 39.0 0xde1421
0.0 48.0 0xff1400
28.0 50.0 0x981467
6.0 48.0 0xdf1420
34.0 54.0 0xab1454
12.0 42.0 0xff1400
22.0 51.0 0xcc1433
20.0 62.0 0xd4142b
26.0 37.0 0xbb1444
12.0 45.0 0xe91416
14.0 40.0 0xe3141c
38.0 47.0 0xeb1414
50.0 53.0 0xd1142e
36.0 56.0 0xe3141c
56.0 58.0 0xd2142d
40.0 45.0 0xf5140a
12.0 56.0 0xdb1424
-16.0 28.0 0xc71438
60.0 56.0 0xec1413
58.0 57.0 0xf81407
-6.0 43.0 0xf81407
2.0 44.0 0xa81457
-10.0 40.0 0xd71428
38.0 56.0 0xcb1434
72.0 65.0 0x9e1461
36.0 51.0 0xc71438
10.0 54.0 0xe81417
12.0 54.0 0xe71418
6.0 44.0 0xc71438
58.0 23.0 0xed1412
22.0 61.0 0xfc1403
-4.0 43.0 0xf2140d
6.0 45.0 0xf61409
40.0 54.0 0xa1145e
26.0 61.0 0x6d1492
46.0 61.0 0xf91406
6.0 43.0 0xe3141c
78.0 53.0 0x8e1471
126.0 53.0 0x73148c
36.0 48.0 0xfb1404
12.0 57.0 0xcc1433
42.0 50.0 0x74148b
24.0 45.0 0xe91416
46.0 51.0 0xee1411
62.0 53.0 0xcf1430
-4.0 57.0 0xd71428
48.0 53.0 0xbd1442
26.0 60.0 0xd1142e
14.0 66.0 0xe1141e
38.0 50.0 0xda1425
114.0 -33.0 0xfe1401
100.0 14.0 0x7e1481
8.0 52.0 0xee1411
72.0 61.0 0xc71438
52.0 53.0 0xd91426
32.0 48.0 0xeb1414
20.0 48.0 0xc3143c
14.0 45.0 0xea1415
-8.0 52.0 0xb71448
2.0 42.0 0xe2141d
34.0 58.0 0xc1143e
24.0 58.0 0xc71438
118.0 -9.0 0x61149e
124.0 1.0 0x891476
42.0 44.0 0xe61419
14.0 37.0 0xf3140c
10.0 52.0 0xdc1423
26.0 44.0 0xd5142a
92.0 56.0 0xb3144c
120.0 32.0 0xd81427
10.0 46.0 0xf2140d
-4.0 36.0 0xe0141f
46.0 42.0 0xc4143b
112.0 -3.0 0xb4144b
8.0 54.0 0xe3141c
-4.0 40.0 0xfd1402
-10.0 39.0 0xe71418
112.0 -8.0 0x9d1462
80.0 16.0 0x8e1471
14.0 44.0 0x8d1472
16.0 48.0 0xf1140e
86.0 53.0 0xcd1432
84.0 56.0 0xb0144f
100.0 0.0 0xad1452
18.0 50.0 0xe3141c
14.0 53.0 0xc5143a
44.0 51.0 0xec1413
64.0 57.0 0xf5140a
28.0 40.0 0xde1421
40.0 52.0 0xe91416
40.0 44.0 0xe91416
0.0 43.0 0xe1141e
26.0 -30.0 0xc61439
-2.0 48.0 0xf1140e
38.0 49.0 0xa81457
90.0 55.0 0x871478
-6.0 37.0 0xdb1424
0.0 45.0 0xdf1420
2.0 46.0 0xde1421
-2.0 46.0 0xd91426
32.0 54.0 0xd2142d
48.0 54.0 0xdd1422
34.0 52.0 0xc0143f
4.0 43.0 0xf91406
8.0 51.0 0xf81407
34.0 51.0 0xc0143f
-10.0 41.0 0xd5142a
52.0 54.0 0xc4143b
14.0 52.0 0xdd1422
40.0 48.0 0xeb1414
20.0 49.0 0xcd1432
44.0 41.0 0xff1400
102.0 53.0 0xc61439
16.0 39.0 0xe4141b
102.0 14.0 0xc2143d
-2.0 42.0 0xc1143e
12.0 66.0 0xda1425
90.0 56.0 0xe81417
24.0 53.0 0xd1142e
24.0 37.0 0xb91446
-2.0 45.0 0xdb1424
0.0 40.0 0xf61409
72.0 33.0 0xaa1455
34.0 56.0 0xb91446
14.0 56.0 0xce1431
38.0 59.0 0xb61449
22.0 42.0 0xe0141f
36.0 50.0 0xbc1443
136.0 34.0 0xb4144b
36.0 49.0 0xc5143a
42.0 56.0 0xe71418
16.0 51.0 0xc71438
0.0 42.0 0xc0143f
8.0 44.0 0xeb1414
26.0 53.0 0xe1141e
68.0 40.0 0x5b14a4
-6.0 50.0 0xf81407
46.0 53.0 0xce1431
34.0 32.0 0xfc1403
26.0 -27.0 0xbf1440
2.0 33.0 0xa1145e
26.0 -26.0 0x5014af
20.0 36.0 0xc2143d
30.0 60.0 0xe3141c
42.0 45.0 0xd1142e
16.0 59.0 0xf4140b
30.0 59.0 0xf4140b
2.0 43.0 0xfe1401
32.0 67.0 0xa0145f
-10.0 43.0 0xf1140e
32.0 47.0 0xa71458
140.0 38.0 0x9a1465
74.0 65.0 0xd5142a
82.0 49.0 0x90146f
12.0 50.0 0xd0142f
54.0 -21.0 0xbd1442
12.0 37.0 0xe3141c
24.0 70.0 0x791486
116.0 -9.0 0xd5142a
38.0 53.0 0xba1445
78.0 7.0 0x861479
34.0 37.0 0x9c1463
10.0 59.0 0xeb1414
42.0 48.0 0xbf1440
138.0 35.0 0xdb1424
132.0 34.0 0xc3143c
68.0 53.0 0xba1445
-4.0 56.0 0xed1412
134.0 34.0 0xd71428
-36.0 -9.0 0xc0143f
-2.0 41.0 0xcb1434
-78.0 35.0 0xa71458
142.0 46.0 0xcb1434
30.0 50.0 0xd2142d
76.0 43.0 0xb0144f
44.0 48.0 0xee1411
18.0 -34.0 0xb2144d
0.0 38.0 0x92146d
