1719306000; 40; 30; 85; 17; 0; 2; 14; 0; 0; 0; 0; 0; 0; 0; 0; 1; 3; 0; 0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 
1725598800; 26; 212; 281; 168; 25; 0; 0; 7; 0; 0; 0; 0; 0; 0; 2; 1; 0; 3; 16; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 
1725602400; 8; 60; 117; 69; 7; 1; 0; 3; 0; 0; 0; 0; 0; 0; 1; 1; 0; 2; 7; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 
1725609600; 5; 79; 56; 21; 1; 5; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 
1725613200; 89; 583; 730; 297; 24; 20; 0; 28; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 3; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 
1725616800; 65; 450; 873; 239; 40; 15; 0; 53; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 
1725620400; 5; 178; 299; 141; 36; 2; 0; 32; 6; 0; 0; 0; 0; 2; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 
1725624000; 32; 178; 617; 261; 74; 48; 18; 29; 23; 6; 0; 0; 0; 0; 0; 0; 5; 0; 0; 0; 0; 5; 33; 0; 0; 0; 46; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 
1725627600; 37; 475; 767; 313; 34; 7; 2; 64; 26; 29; 0; 0; 0; 11; 0; 0; 0; 13; 1; 0; 0; 1; 0; 0; 0; 0; 36; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 
1725631200; 63; 507; 719; 435; 87; 10; 2; 13; 31; 8; 0; 25; 0; 8; 0; 0; 35; 33; 2; 0; 0; 0; 0; 0; 0; 0; 29; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 
